,MSE,SSIM,DIVER,RECON
0,0.3738173110520138,0.5909199188737309,0.09725512914797839,0.48236861693508487
1,0.3651035073048928,0.5732833629145342,0.07293461065958529,0.4691934357671177
2,0.36035769695744796,0.5637142465395086,0.05743297030601431,0.46203597152934356
3,0.35717425626866955,0.5562742808285881,0.04638539419016417,0.45672427161651497
4,0.3544873682891621,0.5498889746034846,0.03854482796262292,0.4521881705697845
5,0.3527012445470866,0.5446258029517006,0.03309915765352985,0.44866352440679774
6,0.35105007141828537,0.5398132310194128,0.029066416243200794,0.4454316518762532
7,0.3494608950089006,0.5350352587068782,0.026341598316588822,0.44224807839183244
8,0.34793083413558845,0.5298800713875714,0.024319726015057636,0.4389054534189841
9,0.34603036808616977,0.52309650971609,0.022948020904818,0.43456343736718683
10,0.3453303417738746,0.5190126063192592,0.18678476617616765,0.43217147185521965
11,0.3436201337505789,0.5132904473473044,0.15049731534193544,0.42845528791932497
